Index,Temperature,Humidity,Object(*C),CO2Analog(ppm),CO2PWM(ppm),Xbar_Humidity,Xbar_co2analog,SD_Humidity,SD_co2analog,isGood
208,34.12,22.91,33.33,725,689,23.5995,739.1,1.188140852008097,10.86229596743757,0
209,34.3,25.09,33.27,731,699,26.62631578947368,736.6842105263158,1.361862329990794,14.18157110705043,0
210,32.06,28.87,30.93,750,704,30.32684210526316,747.4736842105264,2.457268249797321,12.8856872409862,0
211,28.79,34.83,27.91,750,715,34.34599999999999,650.85,2.52668995036256,136.6148157951285,0
212,28.26,36.0,27.49,493,449,37.563,471.65,1.709758677954905,20.23877206593429,0
213,28.62,36.56,27.59,503,454,36.81052631578947,470.578947368421,1.739580005774735,18.98922439898096,0
214,29.59,34.73,28.37,468,440,38.30350000000001,482.7,2.265882597878456,22.36091514933567,0
215,28.38,37.08,27.47,465,444,39.97684210526315,502.2105263157895,2.319509173729982,23.10742773166821,0
216,29.19,35.81,28.31,515,470,42.438,505.2,3.323790797140803,15.45656052160036,0
217,25.18,45.33,24.29,490,450,45.44600000000001,514.05,1.000402024451328,13.50818465344544,0
218,27.11,46.39,26.29,515,480,44.03631578947369,523.578947368421,1.576117630009173,11.80544031591501,0
219,29.27,41.76,28.33,528,489,38.79842105263157,516.2105263157895,1.867030509653393,18.17990021781815,0
220,31.57,37.09,30.65,534,494,33.5385,507.1,2.207828833468469,14.63557310118056,0
221,33.86,30.83,32.91,493,459,28.46894736842106,483.4736842105263,1.546738125995916,27.80361371607142,0
222,35.35,28.59,34.43,450,424,25.818,466.0,1.432747085331642,18.53020294148533,0
223,36.93,24.34,35.83,484,439,17.97526315789473,558.1052631578947,2.102811262257849,36.75428128779634,0
224,41.1,16.09,39.95,559,528,15.253,563.75,1.552136388472692,25.95922916704902,0
225,49.13,12.34,45.79,568,523,12.74315789473684,645.0,1.272351509046576,56.859475903318,0
226,48.21,11.88,46.95,640,612,11.8615,659.55,0.9593049841586244,19.41099796778267,0
227,46.38,13.31,45.39,659,608,14.2221052631579,587.6315789473684,1.496769034908065,33.61747317875001,0
228,41.5,14.57,40.47,528,489,19.101,484.6,2.582234650351091,34.3992043971644,0
229,34.3,23.73,33.51,428,404,21.85299999999999,438.8,1.380530409127708,12.58486977955756,0
230,36.8,20.05,35.99,434,404,21.18736842105263,436.3684210526316,1.052984341475129,9.540617999525267,0
231,34.68,22.08,33.85,434,404,23.1365,435.1,0.8014413003425372,4.655500425359911,0
232,35.87,22.27,34.85,440,404,26.16684210526316,435.7894736842105,2.458109148267286,4.565315461516094,0
233,31.08,31.33,30.15,440,409,33.496,442.2,1.717674069934781,11.08626461698866,0
234,28.52,36.98,27.75,440,419,38.60549999999999,456.1,1.545739390440024,22.59925476181623,0
235,28.14,40.98,27.31,509,465,41.75157894736842,505.0,0.4595923696046657,16.14517471774978,0
236,27.0,42.83,26.27,518,485,40.64578947368422,533.6842105263158,3.878367806449674,14.59852592093899,0
237,30.07,36.02,29.09,543,494,37.78428571428572,524.0952380952381,1.224800275263568,13.88129951375145,0
238,30.04,37.55,29.09,525,494,39.577,529.0,1.523030969262719,14.92201952373293,0
